Model.Description,Goodness.Of.Fit
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation || Belief.In.God -> Religious.Practice,0.585784875483066
Supernatural.Beliefs -> Religious.Formation || Belief.In.God -> Religious.Practice,0.526114291618566
Belief.In.God -> Supernatural.Beliefs || Supernatural.Beliefs -> Religious.Formation || Belief.In.God -> Religious.Practice,0.562871676760143
Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation || Belief.In.God -> Religious.Practice,0.564977824232879
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation || Belief.In.God -> Religious.Practice,0.587266390423818
Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Practice,0.547595833792388
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Practice,0.576028272678713
Belief.In.God -> Supernatural.Beliefs || Supernatural.Beliefs -> Religious.Formation || Supernatural.Beliefs -> Religious.Practice,0.552676780725323
Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation || Supernatural.Beliefs -> Religious.Practice,0.550060420724439
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation || Supernatural.Beliefs -> Religious.Practice,0.57757141322199
Belief.In.God -> Religious.Formation || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.583233535537736
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.598998632162821
Supernatural.Beliefs -> Religious.Formation || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.547862057879764
Belief.In.God -> Supernatural.Beliefs || Supernatural.Beliefs -> Religious.Formation || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.576538398239794
Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.585510672943266
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.600480243204686
Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Religious.Practice,0.577036612113729
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation || Religious.Formation -> Religious.Practice,0.549338199559457
Belief.In.God -> Supernatural.Beliefs || Supernatural.Beliefs -> Religious.Formation || Religious.Formation -> Religious.Practice,0.524900880884921
Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation || Religious.Formation -> Religious.Practice,0.507599041632014
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation || Religious.Formation -> Religious.Practice,0.551014145459924
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice,0.644593398611587
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice,0.597187369170835
Supernatural.Beliefs -> Religious.Formation || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice,0.545244549600384
Belief.In.God -> Supernatural.Beliefs || Supernatural.Beliefs -> Religious.Formation || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice,0.574912229578853
Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice,0.582731953170236
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice,0.59875062019393
Belief.In.God -> Supernatural.Beliefs || Supernatural.Beliefs -> Religious.Practice || Religious.Formation -> Religious.Practice,0.644871940467988
Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Practice || Religious.Formation -> Religious.Practice,0.581101823253289
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Practice || Religious.Formation -> Religious.Practice,0.597490105798043
Belief.In.God -> Supernatural.Beliefs || Supernatural.Beliefs -> Religious.Formation || Supernatural.Beliefs -> Religious.Practice || Religious.Formation -> Religious.Practice,0.575164839884105
Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation || Supernatural.Beliefs -> Religious.Practice || Religious.Formation -> Religious.Practice,0.583574949932857
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation || Supernatural.Beliefs -> Religious.Practice || Religious.Formation -> Religious.Practice,0.599074955902127
Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice || Religious.Formation -> Religious.Practice,0.688114910619035
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice || Religious.Formation -> Religious.Practice,0.65969477960499
Belief.In.God -> Religious.Formation || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice || Religious.Formation -> Religious.Practice,0.597291592141849
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice || Religious.Formation -> Religious.Practice,0.608180329686954
Supernatural.Beliefs -> Religious.Formation || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice || Religious.Formation -> Religious.Practice,0.563103798564015
Belief.In.God -> Supernatural.Beliefs || Supernatural.Beliefs -> Religious.Formation || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice || Religious.Formation -> Religious.Practice,0.586251692370869
Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice || Religious.Formation -> Religious.Practice,0.599683829682489
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice || Religious.Formation -> Religious.Practice,0.609742725684399
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Belief.In.God -> Religious.Formation,0.585784875483066
Supernatural.Beliefs -> Religious.Practice || Belief.In.God -> Religious.Formation,0.547595833792388
Belief.In.God -> Supernatural.Beliefs || Supernatural.Beliefs -> Religious.Practice || Belief.In.God -> Religious.Formation,0.576028272678713
Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice || Belief.In.God -> Religious.Formation,0.583233535537736
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice || Belief.In.God -> Religious.Formation,0.598998632162821
Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Formation,0.526114291618566
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Formation,0.562871676760143
Belief.In.God -> Supernatural.Beliefs || Supernatural.Beliefs -> Religious.Practice || Supernatural.Beliefs -> Religious.Formation,0.552676780725323
Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice || Supernatural.Beliefs -> Religious.Formation,0.547862057879764
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice || Supernatural.Beliefs -> Religious.Formation,0.576538398239794
Belief.In.God -> Religious.Practice || Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation,0.564977824232879
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation,0.587266390423818
Supernatural.Beliefs -> Religious.Practice || Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation,0.550060420724439
Belief.In.God -> Supernatural.Beliefs || Supernatural.Beliefs -> Religious.Practice || Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation,0.57757141322199
Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice || Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation,0.585510672943266
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice || Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation,0.600480243204686
Belief.In.God -> Supernatural.Beliefs || Religious.Practice -> Religious.Formation,0.57703661211373
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Religious.Practice -> Religious.Formation,0.593298987177266
Belief.In.God -> Supernatural.Beliefs || Supernatural.Beliefs -> Religious.Practice || Religious.Practice -> Religious.Formation,0.583720145593116
Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice || Religious.Practice -> Religious.Formation,0.594237243215095
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice || Religious.Practice -> Religious.Formation,0.606386948226543
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation || Religious.Practice -> Religious.Formation,0.590311000111312
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Belief.In.God -> Religious.Formation || Religious.Practice -> Religious.Formation,0.601745878252739
Supernatural.Beliefs -> Religious.Practice || Belief.In.God -> Religious.Formation || Religious.Practice -> Religious.Formation,0.573694343636966
Belief.In.God -> Supernatural.Beliefs || Supernatural.Beliefs -> Religious.Practice || Belief.In.God -> Religious.Formation || Religious.Practice -> Religious.Formation,0.592737301974185
Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice || Belief.In.God -> Religious.Formation || Religious.Practice -> Religious.Formation,0.607562443647722
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice || Belief.In.God -> Religious.Formation || Religious.Practice -> Religious.Formation,0.614932825651669
Belief.In.God -> Supernatural.Beliefs || Supernatural.Beliefs -> Religious.Formation || Religious.Practice -> Religious.Formation,0.579111882153057
Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Formation || Religious.Practice -> Religious.Formation,0.576015283279862
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Formation || Religious.Practice -> Religious.Formation,0.594583587605276
Belief.In.God -> Supernatural.Beliefs || Supernatural.Beliefs -> Religious.Practice || Supernatural.Beliefs -> Religious.Formation || Religious.Practice -> Religious.Formation,0.585196221427333
Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice || Supernatural.Beliefs -> Religious.Formation || Religious.Practice -> Religious.Formation,0.596311308367313
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice || Supernatural.Beliefs -> Religious.Formation || Religious.Practice -> Religious.Formation,0.607739095433645
Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation || Religious.Practice -> Religious.Formation,0.548778969895167
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation || Religious.Practice -> Religious.Formation,0.590266867405489
Belief.In.God -> Religious.Practice || Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation || Religious.Practice -> Religious.Formation,0.587260701225898
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation || Religious.Practice -> Religious.Formation,0.601717745266763
Supernatural.Beliefs -> Religious.Practice || Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation || Religious.Practice -> Religious.Formation,0.573724119079789
Belief.In.God -> Supernatural.Beliefs || Supernatural.Beliefs -> Religious.Practice || Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation || Religious.Practice -> Religious.Formation,0.592738721355595
